number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
834,M,65+,25/4/2018,18-Apr,4,5,5,2,4,5,4,2,International,Economy,Paris - Dallas
835,F,35-49,25/4/2018,18-Apr,2,1,1,1,1,3,1,1,International,Economy,London - New York City
836,M,65+,25/4/2018,18-Apr,4,5,5,5,5,4,5,5,Domestic,Economy,San Francisco - New York City
837,M,50-64,25/4/2018,,5,5,5,4,5,5,4,5,International,Economy,Manchester - Philadelphia
838,M,50-64,24/4/2018,18-Apr,4,4,5,3,4,5,3,3,Domestic,First Class,Oklahoma City - Tampa
839,F,50-64,24/4/2018,18-Apr,2,4,4,4,2,2,4,4,International,Economy,Lima - Philadelphia
840,F,50-64,24/4/2018,18-Apr,3,2,3,1,3,2,3,3,Domestic,Economy,Philadelphia - Cincinnati
841,M,35-49,24/4/2018,18-Apr,3,4,5,3,4,3,5,3,Domestic,Economy,Bentonville - Newark
842,F,50-64,23/4/2018,18-Apr,4,4,4,3,3,4,3,4,Domestic,Economy,Oklahoma City - Boston
843,F,50-64,23/4/2018,18-Apr,1,3,3,2,1,2,2,3,Domestic,Economy,Philadelphia - Wilmington
844,M,35-49,23/4/2018,18-Apr,3,4,5,3,3,4,4,5,Domestic,Economy,Boston - Chicago
845,M,50-64,23/4/2018,18-Apr,5,5,5,4,5,5,5,5,Domestic,First Class,Oklahoma City - Maui
846,F,50-64,23/4/2018,18-Apr,4,4,3,3,4,4,4,4,Caribbean,Economy,Norfolk - Punta Cana
847,F,25-34,23/4/2018,18-Apr,5,5,5,3,4,5,4,5,International,Economy,Charleville - Cancun
848,F,50-64,22/4/2018,18-Apr,4,5,4,5,5,5,4,4,International,Economy,San Jose - Santa Rosa
849,M,50-64,22/4/2018,18-Mar,4,4,3,4,4,4,3,4,Domestic,First Class,Dallas - Las Vegas
850,M,65+,22/4/2018,18-Apr,4,4,2,3,3,4,3,4,Domestic,Economy,Miami - Newark
851,F,50-64,22/4/2018,,3,4,3,3,4,5,3,4,Mexico,Economy,Philadelphia - Cancun
852,M,65+,22/4/2018,18-Apr,3,1,5,3,3,1,1,3,Domestic,Economy,Philadelphia - Fort Myers
853,F,65+,22/4/2018,18-Apr,5,1,5,3,4,1,4,5,Domestic,Economy,Daytona Beach - Detroit
854,M,50-64,22/4/2018,18-Apr,3,3,3,3,3,2,3,3,Caribbean,Economy,Sacramento - Grand Cayman
855,M,50-64,21/4/2018,18-Apr,4,5,4,4,4,4,4,4,International,Economy,London - New Bern
856,M,65+,21/4/2018,18-Jan,5,4,5,4,4,5,4,5,International,Business Class,Barcelona - Miami
857,M,65+,21/4/2018,18-Apr,3,1,3,1,3,1,1,2,Mexico,Business Class,New York City - Cancun
858,M,25-34,21/4/2018,18-Mar,2,2,3,2,3,2,3,3,Domestic,Economy,Chicago - New Orleans
859,M,35-49,21/4/2018,,3,4,5,3,1,1,4,5,Domestic,Economy,Dallas - Tampa
860,M,35-49,21/4/2018,18-Apr,3,5,5,3,1,1,3,1,Domestic,Economy,Honolulu - Dallas
861,M,50-64,21/4/2018,18-Apr,4,5,4,3,4,3,4,4,Mexico,Economy,Dallas - Mexico City
862,M,50-64,20/4/2018,18-Apr,1,1,3,1,5,1,2,2,International,Economy,Miami - Brasilia
863,F,50-64,20/4/2018,18-Apr,5,5,5,5,4,3,5,5,Caribbean,Economy,Saint Louis - Antigua
864,F,50-64,20/4/2018,,4,4,4,4,3,5,3,5,Domestic,Economy,Honolulu - Dallas
865,F,50-64,20/4/2018,18-Apr,3,5,3,3,3,3,4,4,Domestic,Economy,Washington DC - Miami
866,F,50-64,20/4/2018,18-Apr,3,3,3,3,3,3,3,3,Domestic,Economy,Jacksonville - Phoenix
867,M,50-64,20/4/2018,18-Apr,5,5,5,5,5,5,5,5,International,Economy,Miami - Santiago
868,F,50-64,20/4/2018,18-Apr,5,5,5,5,5,4,3,5,Domestic,First Class,Ontario - Phoenix
869,F,25-34,20/4/2018,18-Apr,4,5,4,5,3,4,5,3,International,Economy,Los Angeles - Sydney
870,F,35-49,20/4/2018,18-Apr,1,1,3,1,1,3,1,3,International,Economy,Grand Cayman - Miami
871,M,50-64,20/4/2018,18-Apr,2,5,4,3,2,2,4,5,International,Economy,San Juan - Columbus
872,M,35-49,20/4/2018,18-Apr,5,5,5,5,5,5,4,5,International,First Class,Paris - Philadelphia
873,F,50-64,19/4/2018,18-Apr,3,5,5,5,3,4,3,4,Caribbean,Economy,Charlotte - Puerto Plata
874,F,50-64,19/4/2018,18-Apr,4,4,5,5,5,4,4,4,International,Economy,Traverse City - Coolangatta
875,M,50-64,19/4/2018,18-Apr,5,5,5,5,5,5,4,5,Domestic,First Class,Dallas - Maui
876,F,50-64,18/4/2018,18-Mar,4,5,5,5,4,5,4,5,Domestic,Economy,Dallas - Seattle
877,M,50-64,18/4/2018,17-Dec,3,3,3,3,3,3,3,4,Mexico,Economy,Los Angeles - Mexico City
878,F,35-49,18/4/2018,18-Mar,1,1,3,3,1,3,3,1,International,Economy,Los Angeles - London
879,M,50-64,18/4/2018,18-Apr,2,5,5,3,5,4,5,5,Domestic,Economy,San Francisco - Omaha
880,M,50-64,18/4/2018,17-Dec,2,1,4,1,2,2,1,2,International,Economy,Aruba - Hartford
881,M,65+,17/4/2018,,3,3,3,3,3,2,2,4,Domestic,Business Class,Chicago - Denver
882,M,50-64,17/4/2018,18-Apr,3,1,2,3,3,1,2,1,Domestic,Economy,Fort Lauderdale - Charlotte
883,M,65+,17/4/2018,18-Apr,3,4,4,3,3,1,5,5,Domestic,Economy,Washington DC - Orlando
884,M,25-34,17/4/2018,18-Mar,4,3,5,2,4,5,5,5,Domestic,First Class,Miami - Denver
885,M,65+,17/4/2018,18-Apr,2,3,2,2,2,3,3,3,Domestic,Economy,Washington DC - Fort Myers
886,M,50-64,16/4/2018,18-Mar,4,3,4,3,4,1,3,4,Domestic,First Class,Dallas - Seattle
887,M,50-64,16/4/2018,18-Apr,4,4,4,2,4,1,3,4,International,Business Class,Montego Bay - Dallas
888,M,65+,16/4/2018,18-Apr,4,4,5,4,4,4,4,5,International,Economy,Los Angeles - Tokyo
889,M,25-34,16/4/2018,18-Mar,1,3,4,5,1,3,5,5,Domestic,Economy,Orlando - Washington DC
890,F,65+,16/4/2018,18-Apr,4,4,5,4,4,3,4,5,Domestic,Economy,Miami - Sacramento
891,M,35-49,16/4/2018,18-Apr,4,4,4,4,4,4,4,5,Domestic,Economy,Lawton - El Paso
892,M,50-64,16/4/2018,,4,3,4,3,3,3,4,2,Domestic,Economy,Tampa - Dallas
893,F,25-34,16/4/2018,17-Jul,3,3,3,3,3,4,2,4,International,Economy,Las Vegas - London
894,M,50-64,16/4/2018,18-Mar,3,2,5,1,2,1,5,3,Domestic,Economy,Bangor - Washington DC
895,M,35-49,16/4/2018,18-Mar,2,4,4,1,3,3,4,2,Domestic,Economy,Chicago - San Diego
896,F,50-64,15/4/2018,18-Feb,5,4,4,4,5,5,4,4,Domestic,First Class,Seattle - Phoenix
897,F,35-49,15/4/2018,18-Apr,4,5,5,3,4,5,5,5,Domestic,Economy,Mobile - San Francisco
898,F,50-64,15/4/2018,18-Mar,3,3,3,3,3,4,3,3,Mexico,Economy,Vancouver - Los Cabos
