number,Sex,Age,Rating date,Traveled date,Seat comfort,Customer service,Cleanliness,Food and Beverage,Legroom,In-flight entertainment,Value for money,Check-in and Boarding,Area,Cabin,Route
1232,F,50-64,23/3/2018,18-Mar,4,5,5,3,4,4,4,5,Domestic,Economy,San Angelo - Seattle
1233,F,50-64,22/3/2018,18-Mar,4,4,4,3,4,4,3,4,Domestic,Economy,Los Angeles - Lihue
1234,M,35-49,22/3/2018,18-Mar,2,2,3,2,3,4,3,2,Domestic,Economy,San Diego - Miami
1235,M,50-64,22/3/2018,18-Feb,4,4,4,3,4,4,4,4,Domestic,Economy,Dallas - Las Vegas
1236,M,50-64,22/3/2018,18-Mar,3,2,3,2,3,3,3,3,Domestic,Economy,Saint Louis - Phoenix
1237,M,35-49,22/3/2018,17-Dec,3,5,5,5,4,5,5,5,International,Economy,Philadelphia - London
1238,F,65+,21/3/2018,18-Mar,5,3,5,4,5,5,4,5,International,Economy,Buenos Aires - Houston
1239,F,50-64,21/3/2018,18-Mar,5,5,5,4,5,5,4,5,Domestic,First Class,Las Vegas - Honolulu
1240,M,65+,21/3/2018,18-Mar,1,1,3,1,1,1,1,2,Domestic,Economy,New York City - Miami
1241,M,65+,21/3/2018,18-Mar,3,1,3,1,3,3,2,3,Domestic,Economy,Phoenix - Kailua-Kona
1242,F,35-49,21/3/2018,18-Mar,1,3,2,3,4,3,1,2,Domestic,Economy,New York City - Las Vegas
1243,M,50-64,20/3/2018,18-Mar,2,2,4,3,3,3,3,2,Domestic,Economy,Phoenix - Kansas City
1244,M,50-64,20/3/2018,18-Mar,2,3,4,3,3,3,3,2,Domestic,Economy,Kansas City - Phoenix
1245,M,50-64,20/3/2018,18-Feb,1,1,2,1,1,1,1,2,Domestic,Economy,Sacramento - West Palm Beach
1246,M,35-49,20/3/2018,,4,3,5,3,3,4,4,4,Domestic,Economy,Los Angeles - Atlanta
1247,F,65+,20/3/2018,18-Mar,3,4,4,3,4,3,4,4,Domestic,Economy,Milwaukee - Tucson
1248,F,50-64,20/3/2018,18-Mar,3,5,3,3,5,3,4,3,USA,Economy,Ottawa - San Diego
1249,F,50-64,20/3/2018,18-Feb,3,4,3,3,2,2,3,5,Domestic,Economy,Charlotte - Key West
1250,F,50-64,20/3/2018,18-Mar,2,3,4,2,3,3,3,4,Domestic,Economy,Phoenix - Santa Fe
1251,M,35-49,20/3/2018,18-Mar,2,3,5,3,2,4,3,4,Domestic,Economy,Buffalo - San Francisco
1252,M,50-64,20/3/2018,18-Feb,4,4,4,4,5,2,3,5,Domestic,First Class,Tampa - Dallas
1253,F,25-34,20/3/2018,18-Mar,3,2,3,3,3,4,2,1,Domestic,Economy,Los Angeles - New York City
1254,M,50-64,20/3/2018,18-Mar,5,5,5,5,5,3,5,5,Domestic,Economy,Detroit - Phoenix
1255,F,50-64,19/3/2018,18-Feb,1,1,2,2,1,1,1,2,Domestic,Economy,Columbus - Phoenix
1256,M,50-64,19/3/2018,17-Dec,3,2,4,3,3,5,3,4,International,Economy,London - Dallas
1257,M,50-64,19/3/2018,18-Feb,4,4,4,4,4,4,4,4,Domestic,Economy,Honolulu - Dallas
1258,F,50-64,19/3/2018,17-Sep,3,4,4,4,3,2,4,5,Mexico,Economy,Peoria - Cancun
1259,F,50-64,19/3/2018,18-Mar,3,3,2,2,2,3,1,3,Mexico,Economy,Boston - Los Cabos
1260,F,50-64,18/3/2018,18-Feb,1,2,2,1,1,1,3,2,Domestic,Economy,Phoenix - Maui
1261,F,35-49,18/3/2018,18-Mar,5,5,5,3,5,3,5,5,Domestic,Economy,Charlotte - Spokane
1262,F,65+,18/3/2018,,2,1,2,1,2,1,1,1,Domestic,Economy,Philadelphia - Orlando
1263,F,25-34,18/3/2018,,4,4,5,3,3,2,4,5,Domestic,Economy,White Plains - Las Vegas
1264,M,65+,18/3/2018,18-Feb,5,5,5,4,5,4,4,2,International,Business Class,Grand Cayman - Dallas
1265,M,65+,18/3/2018,18-Mar,3,2,4,4,2,1,3,4,Domestic,Economy,Seattle - Dallas
1266,F,50-64,17/3/2018,18-Mar,5,3,4,4,5,4,3,4,International,Economy,Nashville - London
1267,M,50-64,17/3/2018,18-Feb,2,1,3,1,2,2,2,1,Domestic,Economy,Los Angeles - Boston
1268,M,65+,17/3/2018,18-Mar,3,5,4,2,4,4,3,4,Domestic,Economy,Charlotte - San Diego
1269,M,65+,17/3/2018,18-Mar,3,3,4,3,3,2,3,4,International,Economy,Zurich - New York City
1270,M,50-64,17/3/2018,18-Feb,5,5,5,5,4,5,5,5,International,Economy,Auckland - Los Angeles
1271,F,65+,17/3/2018,,5,5,5,5,5,5,5,5,International,Business Class,Lima - Charlotte
1272,M,50-64,17/3/2018,18-Mar,2,1,2,1,2,1,2,1,International,Economy,London - Miami
1273,M,50-64,17/3/2018,18-Feb,5,2,3,3,5,5,3,3,Domestic,First Class,Pittsburgh - Maui
1274,M,65+,17/3/2018,,3,3,3,3,2,3,3,3,USA,Economy,Los Cabos - Chicago
1275,M,35-49,17/3/2018,18-Mar,3,4,3,3,3,2,3,3,Domestic,Economy,Philadelphia - Rochester
1276,M,50-64,16/3/2018,18-Mar,3,5,3,2,2,3,3,3,Domestic,Economy,Colorado Springs - Austin
1277,F,50-64,16/3/2018,18-Mar,3,3,3,3,3,1,3,4,Domestic,Economy,Tampa - Dallas
1278,F,65+,16/3/2018,18-Mar,3,3,3,3,3,3,3,3,Domestic,Economy,Kalamazoo - Philadelphia
1279,F,25-34,16/3/2018,18-Feb,3,2,3,3,3,1,2,4,Domestic,Economy,Dallas - Charleston
1280,M,50-64,16/3/2018,18-Feb,3,1,5,1,3,1,3,2,Domestic,Economy,San Francisco - Los Angeles
1281,M,50-64,16/3/2018,,2,3,5,4,2,4,5,4,International,Economy,Los Angeles - Auckland
1282,F,50-64,16/3/2018,18-Mar,3,4,4,3,3,2,2,3,Domestic,Economy,Tucson - Portland
1283,M,50-64,16/3/2018,,4,4,5,3,5,5,5,5,International,Economy,Paris - Dallas
1284,M,50-64,15/3/2018,18-Jan,3,4,3,3,3,3,3,3,Domestic,Economy,Fresno - Phoenix
1285,F,35-49,15/3/2018,18-Mar,5,5,4,5,4,4,4,5,International,Business Class,Grand Cayman - Montreal
1286,F,50-64,15/3/2018,18-Mar,3,4,3,3,3,3,3,4,International,Economy,Charlotte - Dublin
1287,M,65+,15/3/2018,18-Jan,3,4,4,3,3,2,3,2,International,Economy,Buenos Aires - Miami
1288,F,50-64,15/3/2018,18-Mar,5,5,4,5,5,4,5,4,Domestic,First Class,Phoenix - Minneapolis
1289,F,35-49,15/3/2018,18-Feb,4,4,5,4,4,5,3,5,International,Economy,Philadelphia - Madrid
1290,M,50-64,15/3/2018,18-Feb,3,3,3,3,3,3,2,3,Domestic,Economy,Maui - Los Angeles
1291,M,50-64,15/3/2018,18-Mar,3,5,4,4,3,3,4,2,Domestic,Economy,Key West - Columbus
1292,M,50-64,15/3/2018,18-Feb,3,4,3,1,3,2,2,4,Caribbean,Economy,Boston - St. Kitts
1293,M,50-64,14/3/2018,18-Mar,2,4,3,3,1,3,3,3,International,Economy,San Jose - Nashville
1294,F,65+,14/3/2018,18-Mar,1,2,2,1,1,1,1,1,Domestic,Economy,Los Angeles - Philadelphia
1295,M,35-49,14/3/2018,18-Feb,3,4,3,3,3,5,3,3,Caribbean,Economy,Chicago - Montego Bay
1296,M,65+,14/3/2018,,3,3,4,4,3,4,3,4,Domestic,Economy,Dallas - Miami
1297,F,50-64,14/3/2018,17-Sep,3,3,3,3,2,1,3,3,Domestic,Economy,Atlanta - Philadelphia
1298,M,50-64,14/3/2018,18-Feb,2,4,4,1,2,1,2,2,Domestic,Economy,Miami - Orlando
1299,M,35-49,14/3/2018,18-Feb,4,5,5,5,4,3,5,5,Domestic,Economy,Philadelphia - Charlotte
1300,M,25-34,14/3/2018,18-Mar,3,4,3,3,3,3,3,3,Domestic,Economy,Phoenix - Key West
1301,F,25-34,14/3/2018,18-Mar,3,3,3,3,3,3,3,2,Caribbean,Economy,Chicago - St. Lucia
1302,F,50-64,14/3/2018,18-Mar,3,4,4,3,3,5,3,5,International,Economy,Seoul - Albuquerque
1303,M,65+,13/3/2018,18-Jan,3,4,3,2,3,1,3,1,Mexico,Economy,Los Angeles - Puerto Vallarta
1304,M,25-34,13/3/2018,18-Mar,3,4,3,3,3,5,3,4,Domestic,First Class,Honolulu - Los Angeles
1305,M,65+,13/3/2018,18-Feb,4,5,4,4,5,3,4,4,Domestic,First Class,Los Angeles - Chicago
1306,F,50-64,13/3/2018,18-Feb,2,1,3,1,2,1,1,4,Caribbean,Economy,Grand Junction - Cayman Brac
1307,M,65+,13/3/2018,18-Mar,3,3,3,3,3,3,3,3,Domestic,Economy,Champaign - Orlando
1308,M,50-64,13/3/2018,17-Oct,4,3,5,3,4,1,5,2,Domestic,Economy,Phoenix - Wilmington
1309,F,50-64,13/3/2018,18-Mar,4,4,4,4,4,4,4,4,International,Economy,Nassau - New York City
1310,M,35-49,13/3/2018,18-Feb,3,5,3,2,4,4,4,5,Domestic,Economy,Dallas - Las Vegas
1311,M,35-49,13/3/2018,18-Mar,3,2,3,1,2,1,2,2,Caribbean,Economy,Ottawa - Curacao
1312,M,50-64,13/3/2018,18-Feb,3,4,4,2,3,1,3,4,Domestic,Economy,Charlotte - Los Angeles
1313,F,50-64,13/3/2018,18-Feb,3,5,5,5,4,2,3,5,Domestic,Economy,Myrtle Beach - Baltimore
1314,M,50-64,13/3/2018,17-Dec,3,2,2,2,4,3,3,4,International,Economy,Miami - Sao Paulo
1315,M,50-64,13/3/2018,18-Mar,4,4,4,4,4,5,4,4,International,Economy,Dallas - London
1316,M,35-49,13/3/2018,18-Feb,3,4,4,3,3,2,4,4,International,Economy,Hong Kong - Los Angeles
1317,M,35-49,13/3/2018,18-Feb,4,4,4,4,4,4,4,4,International,Economy,Dallas - Seoul
1318,M,50-64,13/3/2018,18-Feb,3,4,4,3,3,3,3,3,USA,Economy,Toronto - San Francisco
1319,M,50-64,2018/12/3 0:00,17-Nov,5,5,5,4,4,3,3,5,International,Business Class,Los Angeles - Hong Kong
1320,M,65+,2018/12/3 0:00,18-Mar,5,5,5,3,5,3,5,5,USA,Economy,Puerto Vallarta - West Palm Beach
1321,M,50-64,2018/12/3 0:00,18-Feb,3,3,3,4,3,3,4,4,Domestic,Economy,Boston - Dallas
1322,F,50-64,2018/12/3 0:00,18-Mar,4,5,5,4,4,5,5,5,Domestic,Economy,Philadelphia - Tallahassee
1323,F,35-49,2018/12/3 0:00,18-Feb,2,3,3,1,3,3,3,2,Domestic,Economy,Marquette - Phoenix
1324,F,35-49,2018/12/3 0:00,17-Apr,1,1,2,1,3,1,1,1,Domestic,First Class,Las Vegas - Philadelphia
1325,M,65+,2018/12/3 0:00,18-Feb,2,1,3,2,2,3,3,2,USA,Economy,Cancun - Dayton
1326,M,50-64,2018/12/3 0:00,18-Feb,2,3,3,3,2,3,2,2,Domestic,First Class,Little Rock - Indianapolis
1327,M,50-64,2018/12/3 0:00,18-Feb,4,4,4,4,4,3,4,5,International,Economy,Aruba - Charlotte
1328,M,50-64,2018/12/3 0:00,18-Mar,4,1,4,3,3,4,3,1,Caribbean,Economy,Baltimore - Puerto Plata
1329,M,35-49,2018/12/3 0:00,18-Mar,3,5,5,3,3,5,5,5,Caribbean,First Class,Manchester - Nassau
1330,F,50-64,2018/12/3 0:00,18-Mar,3,3,4,3,3,3,3,1,International,Economy,Paramaribo - Washington DC
1331,F,65+,2018/12/3 0:00,18-Mar,4,4,4,3,4,3,3,3,International,Economy,Philadelphia - London
1332,M,65+,2018/11/3 0:00,18-Mar,3,4,4,3,3,3,3,4,Domestic,Economy,Charlotte - Shreveport
1333,F,50-64,2018/11/3 0:00,18-Mar,1,4,3,5,1,1,1,1,Domestic,Business Class,El Paso - San Diego
1334,M,50-64,2018/11/3 0:00,18-Jan,5,5,5,5,5,5,5,5,Domestic,Economy,Montgomery - Washington DC
1335,M,65+,2018/11/3 0:00,18-Feb,5,5,5,5,5,3,5,5,Domestic,Economy,Newark - Miami
1336,M,50-64,2018/11/3 0:00,,4,5,5,4,4,5,5,5,International,Economy,Washington DC - Barcelona
1337,M,50-64,2018/11/3 0:00,18-Feb,5,5,4,2,4,5,4,4,Domestic,Economy,Orlando - Little Rock
1338,F,35-49,2018/11/3 0:00,18-Mar,3,1,3,1,3,3,3,1,Caribbean,Economy,New York City - Punta Cana
1339,M,65+,2018/11/3 0:00,17-Oct,4,5,5,3,4,4,5,5,Domestic,Economy,Richmond - Orlando
1340,F,50-64,2018/11/3 0:00,18-Mar,5,5,5,5,5,5,5,5,International,Business Class,London - Miami
1341,M,25-34,2018/10/3 0:00,18-Feb,2,2,2,3,2,1,4,3,Domestic,First Class,Miami - Philadelphia
1342,M,50-64,2018/10/3 0:00,18-Feb,5,5,5,4,5,5,5,4,Domestic,First Class,Denver - Dallas
1343,M,50-64,2018/10/3 0:00,18-Feb,3,4,3,4,4,4,4,4,Caribbean,Business Class,Philadelphia - San Juan
1344,M,50-64,2018/10/3 0:00,18-Mar,4,5,5,5,3,5,5,5,Domestic,Economy,Nashville - Hartford
1345,M,65+,2018/10/3 0:00,18-Mar,3,5,5,3,1,5,5,5,International,Economy,Miami - Rio de Janeiro
1346,M,65+,2018/10/3 0:00,18-Mar,3,1,3,2,3,3,3,1,International,Economy,San Juan - London
1347,M,65+,2018/9/3 0:00,18-Feb,3,2,3,2,3,2,2,4,Domestic,Economy,Los Angeles - Philadelphia
1348,M,35-49,2018/9/3 0:00,18-Mar,4,4,4,4,4,4,4,4,Mexico,Economy,Syracuse - Cancun
1349,M,25-34,2018/9/3 0:00,18-Feb,2,3,5,1,2,5,2,4,Domestic,Economy,Tampa - Miami
1350,M,50-64,2018/8/3 0:00,18-Mar,4,3,5,3,4,2,3,1,Mexico,Economy,Las Vegas - Cancun
1351,F,50-64,2018/8/3 0:00,18-Feb,3,3,3,3,3,1,2,3,Domestic,Economy,Chicago - Miami
1352,M,50-64,2018/8/3 0:00,18-Mar,2,1,3,1,2,4,4,3,Domestic,Economy,Los Angeles - Boston
1353,M,65+,2018/8/3 0:00,18-Feb,3,5,4,3,3,3,3,4,Domestic,Economy,Evansville - Dallas
1354,M,50-64,2018/8/3 0:00,18-Feb,3,4,4,3,3,3,3,4,Domestic,Economy,Las Vegas - San Diego
1355,M,50-64,2018/8/3 0:00,17-Aug,3,3,3,2,3,3,1,3,Domestic,Economy,Miami - Boston
1356,M,35-49,2018/8/3 0:00,18-Feb,3,3,3,3,3,3,3,3,International,Economy,London - Dallas
1357,M,50-64,2018/7/3 0:00,18-Mar,5,5,4,3,4,5,5,5,Mexico,Economy,Toledo - Guadalajara
1358,M,35-49,2018/7/3 0:00,,4,4,5,4,4,5,4,5,Domestic,Economy,San Francisco - New York City
1359,F,65+,2018/7/3 0:00,18-Feb,2,3,4,1,1,2,3,4,Domestic,Economy,Columbus - Phoenix
1360,M,50-64,2018/7/3 0:00,18-Feb,4,5,4,4,4,4,4,5,International,Business Class,Dallas - Hong Kong
1361,M,35-49,2018/7/3 0:00,18-Feb,4,4,5,3,3,2,3,5,Domestic,Economy,San Diego - New York City
1362,M,50-64,2018/7/3 0:00,18-Mar,5,5,5,4,5,5,2,5,Domestic,First Class,New York City - Palm Springs
1363,F,35-49,2018/7/3 0:00,18-Feb,1,3,3,1,1,3,1,3,International,Economy,New York City - London
1364,M,65+,2018/6/3 0:00,18-Feb,4,4,4,4,5,4,3,4,Domestic,First Class,Phoenix - Fresno
1365,M,25-34,2018/6/3 0:00,18-Feb,2,5,2,4,2,1,4,3,Domestic,First Class,Philadelphia - Tampa
1366,M,25-34,2018/6/3 0:00,18-Mar,4,5,5,3,3,2,5,3,Domestic,First Class,Washington DC - Philadelphia
1367,M,25-34,2018/6/3 0:00,18-Mar,3,4,5,2,5,5,3,3,Domestic,Economy,Dallas - Washington DC
1368,F,35-49,2018/6/3 0:00,,1,1,1,1,1,1,1,1,USA,Economy,Toronto - Tampa
1369,M,25-34,2018/6/3 0:00,18-Feb,4,3,4,4,3,4,4,4,International,Economy,London - Raleigh
1370,M,65+,2018/6/3 0:00,18-Feb,3,3,3,3,3,3,4,4,Domestic,Economy,Phoenix - Portland
1371,M,50-64,2018/6/3 0:00,18-Feb,3,4,4,3,4,1,4,4,Domestic,Economy,Seattle - Philadelphia
1372,F,65+,2018/6/3 0:00,18-Feb,5,5,5,5,5,5,5,5,International,Business Class,London - Chicago
1373,M,50-64,2018/6/3 0:00,17-Nov,2,4,3,2,2,2,3,4,Domestic,Economy,Dallas - Fort Myers
1374,M,50-64,2018/6/3 0:00,17-Oct,5,5,5,5,4,5,4,5,International,Economy,Medellin - Miami
1375,M,65+,2018/6/3 0:00,,3,4,4,4,3,4,4,5,International,Economy,Paris - Columbia
1376,F,65+,2018/5/3 0:00,18-Mar,3,4,3,1,3,3,1,5,Domestic,Economy,Cleveland - Miami
1377,F,35-49,2018/5/3 0:00,18-Feb,3,3,1,2,3,3,3,2,International,Economy,Los Angeles - Sydney
1378,M,50-64,2018/5/3 0:00,18-Feb,4,2,4,3,4,3,3,2,Domestic,Business Class,Miami - Saint Louis
1379,M,50-64,2018/5/3 0:00,18-Mar,2,4,2,3,2,4,3,4,USA,Economy,Mexico City - Miami
1380,F,25-34,2018/5/3 0:00,18-Feb,3,4,3,3,3,4,3,4,International,Economy,Dublin - Philadelphia
1381,M,65+,2018/5/3 0:00,18-Mar,5,4,5,4,5,4,4,5,International,Business Class,Charlotte - London
1382,M,50-64,2018/5/3 0:00,18-Feb,3,5,5,4,3,2,4,3,Domestic,Economy,Milwaukee - Dallas
1383,F,50-64,2018/4/3 0:00,,5,5,5,5,5,1,5,5,Domestic,Business Class,New York City - Las Vegas
1384,M,65+,2018/4/3 0:00,18-Jan,5,5,5,3,5,5,4,5,Caribbean,Business Class,Albuquerque - Montego Bay
1385,M,65+,2018/4/3 0:00,17-Dec,3,3,4,2,2,1,3,2,Domestic,Economy,Myrtle Beach - Palm Springs
1386,F,65+,2018/4/3 0:00,18-Feb,2,4,4,3,4,3,3,3,USA,Economy,Cancun - Chicago
1387,M,35-49,2018/4/3 0:00,18-Mar,5,5,5,3,4,5,4,5,International,Economy,Mexico City - San Pedro Sula
1388,F,50-64,2018/4/3 0:00,18-Feb,3,1,4,2,3,3,2,3,Domestic,Economy,Tallahassee - Phoenix
1389,M,65+,2018/4/3 0:00,18-Feb,4,5,5,5,5,5,5,5,Domestic,Business Class,Charlotte - Phoenix
1390,M,50-64,2018/4/3 0:00,,1,3,3,1,1,3,3,1,Domestic,Economy,Dallas - Atlanta
1391,M,35-49,2018/4/3 0:00,18-Jan,2,2,3,1,1,1,2,2,Domestic,Economy,Fort Lauderdale - Dallas
1392,F,50-64,2018/3/3 0:00,18-Jan,3,2,3,3,3,1,2,3,International,Economy,Syracuse - San Jose
1393,M,50-64,2018/3/3 0:00,18-Feb,4,5,3,4,5,4,3,4,Domestic,Economy,Tallahassee - Chicago
1394,M,65+,2018/3/3 0:00,18-Feb,2,5,4,4,2,2,3,5,Mexico,Economy,Phoenix - Los Cabos
1395,F,50-64,2018/3/3 0:00,18-Feb,4,3,4,2,4,2,2,2,Domestic,Business Class,Portland - West Palm Beach
1396,M,50-64,2018/3/3 0:00,18-Jan,2,2,4,3,2,3,3,4,Domestic,Economy,Newark - Abilene
1397,M,35-49,2018/3/3 0:00,18-Feb,3,2,3,2,3,4,3,4,International,Economy,Dallas - San Jose
1398,M,50-64,2018/2/3 0:00,18-Feb,5,5,5,3,3,5,4,5,Caribbean,Economy,San Jose - Punta Cana
1399,M,65+,2018/2/3 0:00,,3,4,3,3,3,1,3,4,Domestic,Economy,Huntington - Fort Lauderdale
1400,F,35-49,2018/2/3 0:00,18-Feb,3,3,2,2,3,1,2,3,Domestic,First Class,Philadelphia - San Diego
1401,F,50-64,2018/2/3 0:00,18-Feb,4,3,3,2,4,4,3,3,International,First Class,Miami - Barranquilla
1402,M,65+,2018/2/3 0:00,17-Dec,3,5,4,3,2,3,3,5,Domestic,Economy,Portland - Miami
1403,F,50-64,2018/2/3 0:00,18-Jan,4,4,3,3,3,4,3,4,International,Economy,Kansas City - Belize City
1404,F,35-49,2018/2/3 0:00,18-Feb,3,1,1,1,3,1,3,1,International,Economy,Punta Cana - New York City
1405,M,65+,2018/2/3 0:00,17-May,1,2,2,2,2,3,2,1,Domestic,Economy,Phoenix - New York City
1406,M,50-64,2018/2/3 0:00,18-Jan,3,4,4,3,3,2,4,4,Domestic,Economy,Los Angeles - Houston
1407,M,50-64,2018/1/3 0:00,18-Feb,4,5,5,5,3,4,5,5,International,Economy,Auckland - Los Angeles
1408,M,50-64,2018/1/3 0:00,18-Feb,4,5,4,5,4,2,4,5,Domestic,First Class,Las Vegas - Dallas
1409,M,65+,2018/1/3 0:00,18-Feb,5,5,5,5,5,5,5,5,Mexico,Business Class,Dallas - Puerto Vallarta
1410,M,65+,2018/1/3 0:00,18-Feb,3,3,4,3,3,2,3,1,Domestic,Economy,Houston - Charlotte
1411,F,50-64,2018/1/3 0:00,18-Feb,3,2,3,3,3,2,2,1,Caribbean,Economy,Minneapolis - Aruba
1412,M,50-64,2018/1/3 0:00,18-Feb,4,5,5,3,3,4,5,5,Domestic,Economy,Dallas - San Francisco
1413,M,50-64,2018/1/3 0:00,18-Feb,4,3,4,2,4,3,3,4,Domestic,Economy,Miami - Dallas
1414,M,25-34,28/2/2018,18-Feb,4,4,5,3,5,3,5,5,Domestic,First Class,Colorado Springs - Dallas
1415,M,50-64,28/2/2018,18-Feb,3,3,4,3,4,1,2,3,Domestic,Economy,Detroit - Phoenix
1416,M,25-34,28/2/2018,,3,4,4,3,3,4,4,2,Domestic,Economy,Atlanta - Los Angeles
1417,M,35-49,28/2/2018,18-Feb,4,5,5,4,5,5,4,5,International,Economy,Dublin - Nashville
1418,F,25-34,28/2/2018,18-Feb,3,1,3,1,3,1,1,1,Domestic,First Class,Boston - Miami
1419,F,50-64,27/2/2018,18-Feb,2,5,3,3,1,4,3,3,Domestic,Economy,Ontario - Dallas
1420,M,50-64,27/2/2018,18-Jan,1,4,2,3,1,3,1,3,Domestic,Economy,Greenville - Dallas
1421,M,65+,27/2/2018,18-Jan,2,4,4,3,2,3,3,3,Domestic,First Class,Dayton - Jackson
1422,F,50-64,27/2/2018,18-Feb,5,5,5,5,5,5,4,4,Domestic,First Class,New York City - Phoenix
1423,M,50-64,27/2/2018,18-Feb,3,5,3,5,1,1,2,5,Caribbean,Economy,Miami - St. Kitts
1424,M,50-64,26/2/2018,18-Feb,5,4,4,3,5,4,4,5,International,Business Class,Los Angeles - Hong Kong
1425,M,50-64,26/2/2018,18-Jan,4,1,4,2,4,4,3,3,International,Economy,Sydney - Los Angeles
1426,F,50-64,26/2/2018,18-Feb,3,1,1,1,3,1,1,1,Domestic,Business Class,Ontario - Tampa
1427,F,50-64,26/2/2018,,4,4,5,3,4,4,4,5,Domestic,Economy,Kalamazoo - Lihue
1428,F,35-49,26/2/2018,18-Feb,5,3,5,3,4,5,3,4,Domestic,Economy,Los Angeles - Atlanta
1429,M,50-64,26/2/2018,18-Feb,5,4,3,2,4,2,3,4,Canada,Economy,Orlando - Toronto
1430,M,50-64,26/2/2018,18-Feb,5,4,5,4,5,5,5,5,International,Economy,Los Angeles - Auckland
1431,F,50-64,26/2/2018,18-Feb,4,3,4,3,3,5,3,5,Mexico,Economy,Tucson - Cozumel
1432,M,50-64,26/2/2018,18-Feb,2,4,3,3,3,4,3,4,Domestic,Economy,Texarkana - Omaha
1433,M,65+,26/2/2018,18-Feb,2,3,4,3,1,4,2,5,International,Economy,Los Angeles - Auckland
1434,M,50-64,25/2/2018,17-Dec,3,4,3,3,2,1,3,3,Caribbean,Economy,Detroit - Punta Cana
1435,F,35-49,25/2/2018,18-Feb,4,4,4,3,4,4,4,4,Mexico,Business Class,San Francisco - Mazatlan
1436,F,65+,25/2/2018,18-Feb,3,4,4,2,3,4,3,3,International,Economy,Miami - Managua
1437,M,35-49,25/2/2018,18-Feb,4,4,4,5,4,5,4,4,International,Business Class,Chicago - Shanghai
1438,M,65+,25/2/2018,18-Feb,4,3,4,3,4,3,4,3,International,Economy,Santiago - Miami
1439,F,50-64,25/2/2018,18-Jan,4,5,5,4,4,4,5,5,Domestic,Economy,Toledo - San Diego
1440,F,50-64,25/2/2018,18-Feb,3,4,4,4,4,3,4,4,Domestic,Economy,Dallas - Las Vegas
1441,F,50-64,25/2/2018,18-Feb,4,4,3,3,4,4,2,4,Mexico,First Class,Dallas - Cancun
1442,F,50-64,24/2/2018,,1,5,4,1,1,4,1,4,Domestic,Economy,Boston - Dallas
1443,M,65+,24/2/2018,18-Feb,2,5,3,2,4,4,4,5,Domestic,Economy,Chicago - San Francisco
1444,M,35-49,23/2/2018,18-Jan,1,1,1,1,1,1,1,1,International,Business Class,Lima - Miami
1445,M,50-64,23/2/2018,18-Feb,4,3,4,4,3,5,3,4,International,Economy,Austin - Quito
1446,M,35-49,23/2/2018,18-Feb,4,5,5,4,3,5,4,4,Caribbean,Economy,Memphis - San Juan
1447,M,65+,23/2/2018,18-Jan,4,4,4,4,4,3,4,4,Domestic,Economy,Charlotte - Las Vegas
1448,M,65+,23/2/2018,18-Feb,5,5,5,5,5,5,5,5,Domestic,Economy,Bentonville - Rochester
1449,M,50-64,23/2/2018,18-Feb,5,4,5,4,5,5,4,5,International,Business Class,Madrid - Miami
1450,M,50-64,23/2/2018,18-Feb,3,3,4,3,3,4,1,1,Domestic,First Class,Dayton - San Diego
1451,F,18-24,23/2/2018,18-Feb,4,5,5,5,1,3,5,5,International,Economy,Manaus - Amsterdam
1452,F,50-64,22/2/2018,18-Feb,4,4,4,3,3,4,5,3,Domestic,Economy,Boston - Los Angeles
1453,M,50-64,22/2/2018,18-Feb,2,3,3,2,2,1,3,3,Mexico,Economy,Charlotte - Cancun
1454,F,35-49,22/2/2018,18-Feb,4,5,3,4,4,3,4,5,Domestic,Economy,Raleigh - Miami
1455,M,65+,22/2/2018,18-Feb,5,5,5,5,5,5,3,5,Domestic,First Class,Phoenix - Fort Lauderdale
1456,M,65+,22/2/2018,18-Feb,3,3,3,4,3,3,5,4,Mexico,Economy,New York City - Los Cabos
1457,F,25-34,22/2/2018,18-Feb,4,5,4,3,4,2,4,4,Domestic,Economy,Fort Lauderdale - Salt Lake City
1458,M,50-64,22/2/2018,,3,3,3,3,3,3,3,4,Domestic,Economy,Chicago - Charlotte
1459,F,35-49,22/2/2018,17-Jul,4,4,4,3,4,2,4,5,Caribbean,Economy,Toronto - Aruba
1460,M,35-49,22/2/2018,17-Dec,4,5,5,5,4,3,5,5,Domestic,Economy,Phoenix - Lihue
1461,M,65+,22/2/2018,18-Feb,3,4,3,2,2,2,3,2,Domestic,Economy,Fort Myers - Washington DC
1462,M,65+,22/2/2018,18-Feb,4,4,4,2,4,2,3,4,Mexico,Economy,Vancouver - Puerto Vallarta
1463,M,65+,22/2/2018,18-Feb,3,3,2,3,2,2,2,3,International,Business Class,Guatemala City - Miami
1464,M,50-64,22/2/2018,18-Feb,4,4,4,3,4,3,4,4,International,Economy,San Juan - Vancouver
1465,M,50-64,22/2/2018,18-Feb,4,4,4,4,4,1,4,4,Canada,Economy,Dallas - Toronto
1466,M,50-64,22/2/2018,18-Feb,4,5,5,4,4,3,4,5,USA,Economy,Cancun - Madison
1467,M,35-49,21/2/2018,18-Feb,4,3,4,2,4,3,3,5,International,Economy,Hong Kong - Dallas
1468,M,50-64,21/2/2018,,4,4,4,4,3,4,3,4,Domestic,Economy,Los Angeles - Maui
1469,M,50-64,21/2/2018,18-Feb,2,1,3,2,3,1,2,1,Caribbean,Economy,Miami - St. Kitts
